"","md5sum"
"2013-07-15/ZIP/2000_All_Contracts_Full_20130715.csv.zip","d628e2032b6f39d8f6cb6471c77d88b5"
"2013-07-15/ZIP/2000_All_DirectPayments_Full_20130715.csv.zip","d308799eb693d613a36ee21a989e151a"
"2013-07-15/ZIP/2000_All_Grants_Full_20130715.csv.zip","e422ab53a8018114fc451c5b899efa5e"
"2013-07-15/ZIP/2000_All_Insurance_Full_20130715.csv.zip","5fc2264a10ac774e3600b060dbf58aea"
"2013-07-15/ZIP/2000_All_Loans_Full_20130715.csv.zip","1488e7ad43f74badbba2628a5d64921e"
"2013-07-15/ZIP/2000_All_Others_Full_20130715.csv.zip","30e37f5d5cc5589fdd32a534cce2ffcb"
"2013-07-15/ZIP/2001_All_Contracts_Full_20130715.csv.zip","dddc5305d022705f5191479240593fd3"
"2013-07-15/ZIP/2001_All_DirectPayments_Full_20130715.csv.zip","413113dad2c499fb8779775257f6364b"
"2013-07-15/ZIP/2001_All_Grants_Full_20130715.csv.zip","dd7cecc68a8385f512cde8f1d4119f86"
"2013-07-15/ZIP/2001_All_Insurance_Full_20130715.csv.zip","49e8cf6f6a5d5e34a5375e479d717b9a"
"2013-07-15/ZIP/2001_All_Loans_Full_20130715.csv.zip","0a953352498c342272954f7eca2723a7"
"2013-07-15/ZIP/2001_All_Others_Full_20130715.csv.zip","ce703c5b0d7d8a56494309b6c45d08a7"
"2013-07-15/ZIP/2002_All_Contracts_Full_20130715.csv.zip","494835d1d1e6879a9c743a2cf88790e1"
"2013-07-15/ZIP/2002_All_DirectPayments_Full_20130715.csv.zip","c0293de17eeb4b5d58f19571552da242"
"2013-07-15/ZIP/2002_All_Grants_Full_20130715.csv.zip","e5b9e15edafab70b758e6876689c72b7"
"2013-07-15/ZIP/2002_All_Insurance_Full_20130715.csv.zip","59aca6f580f1716a19a53a316cfeaea2"
"2013-07-15/ZIP/2002_All_Loans_Full_20130715.csv.zip","65984c359f853a335f126db6974fa287"
"2013-07-15/ZIP/2002_All_Others_Full_20130715.csv.zip","6fa783804086e6f852ad3a006de56863"
"2013-07-15/ZIP/2003_All_Contracts_Full_20130715.csv.zip","b07fa389c159c5c9940270ef3b000714"
"2013-07-15/ZIP/2003_All_DirectPayments_Full_20130715.csv.zip","f7e9d8b4ac25982698e2c323d4f04ab8"
"2013-07-15/ZIP/2003_All_Grants_Full_20130715.csv.zip","d7ded25f12b6b80978cb966085f538a9"
"2013-07-15/ZIP/2003_All_Insurance_Full_20130715.csv.zip","90ae9a5b3cb5de036746a62fb5382047"
"2013-07-15/ZIP/2003_All_Loans_Full_20130715.csv.zip","c4b068a5adc501fb8cb9c5cb8f19c531"
"2013-07-15/ZIP/2003_All_Others_Full_20130715.csv.zip","40a5b2448ff3bafe0198f6e4ce41fa51"
"2013-07-15/ZIP/2004_All_Contracts_Full_20130715.csv.zip","316bdc13ea373d5bb3489b93dd8eed65"
"2013-07-15/ZIP/2004_All_DirectPayments_Full_20130715.csv.zip","cfa4ea3446e183f6ef301d7983ab7c83"
"2013-07-15/ZIP/2004_All_Grants_Full_20130715.csv.zip","39be41cd32c0473bc2f2f7a865d8ff9b"
"2013-07-15/ZIP/2004_All_Insurance_Full_20130715.csv.zip","8596d04187ccc0b66e57aafbbb521256"
"2013-07-15/ZIP/2004_All_Loans_Full_20130715.csv.zip","e1e8c3225147bf126ca5cdce3743dfdc"
"2013-07-15/ZIP/2004_All_Others_Full_20130715.csv.zip","52a48fdb8a7019cd6ed727491bd93037"
"2013-07-15/ZIP/2005_All_Contracts_Full_20130715.csv.zip","3e00e4e2c582774e50b88162718e6a27"
"2013-07-15/ZIP/2005_All_DirectPayments_Full_20130715.csv.zip","e6dac1aeac9b33b68f99a528802c3479"
"2013-07-15/ZIP/2005_All_Grants_Full_20130715.csv.zip","d48cb3397a0f6516ea8b535567dac852"
"2013-07-15/ZIP/2005_All_Insurance_Full_20130715.csv.zip","17fcba4d03391ad75eccf317ddda2eb5"
"2013-07-15/ZIP/2005_All_Loans_Full_20130715.csv.zip","13b3cb3aad1ad346f97ddadb81384588"
"2013-07-15/ZIP/2005_All_Others_Full_20130715.csv.zip","57975b0b798551a72ed76c39dbc4b145"
"2013-07-15/ZIP/2006_All_Contracts_Full_20130715.csv.zip","db8462a03305f0d710a153ef83f0ce26"
"2013-07-15/ZIP/2006_All_DirectPayments_Full_20130715.csv.zip","8e9168e046eeae0da5f7f778af17df2f"
"2013-07-15/ZIP/2006_All_Grants_Full_20130715.csv.zip","1e0a21812d966d43525d6d5705927a48"
"2013-07-15/ZIP/2006_All_Insurance_Full_20130715.csv.zip","ca3a962ae5628d12829e1f1f23d7d812"
"2013-07-15/ZIP/2006_All_Loans_Full_20130715.csv.zip","588e4e2d150adcc10152bdb6b9fd3187"
"2013-07-15/ZIP/2006_All_Others_Full_20130715.csv.zip","8627da7904ce685f80d3e896bedf9ead"
