"","md5sum"
"2014-03-16/ZIP/2003_All_Contracts_Full_20140316.csv.zip","1c1088f5fdc668f0b4914f59453f5769"
"2014-03-16/ZIP/2003_All_DirectPayments_Full_20140316.csv.zip","8bcb77b50fcdddcf12123d49b7cca24e"
"2014-03-16/ZIP/2003_All_Grants_Full_20140316.csv.zip","1e3321facfcb6fe57048528f285f1256"
"2014-03-16/ZIP/2003_All_Insurance_Full_20140316.csv.zip","7e03ef15e55c1f2c3bcf6eb21a269ab3"
"2014-03-16/ZIP/2003_All_Loans_Full_20140316.csv.zip","4b4dd7f278e10f43e8b804d0493c91ca"
"2014-03-16/ZIP/2003_All_Others_Full_20140316.csv.zip","c029d738d5a4a7a31dc3837f3375859d"
"2014-03-16/ZIP/2004_All_Contracts_Full_20140316.csv.zip","f53f60272466822bc539bb9103973319"
"2014-03-16/ZIP/2004_All_DirectPayments_Full_20140316.csv.zip","45d20d582f20f98b7e38699ceae03319"
"2014-03-16/ZIP/2004_All_Grants_Full_20140316.csv.zip","65358ccde1e9107cf2dbf01206e260f5"
"2014-03-16/ZIP/2004_All_Insurance_Full_20140316.csv.zip","25ea486f93533c1d1c2fbe949f659c4e"
"2014-03-16/ZIP/2004_All_Loans_Full_20140316.csv.zip","e0afd950f6235a3d7ac181f15b4f195e"
"2014-03-16/ZIP/2004_All_Others_Full_20140316.csv.zip","4fee3015da0c08fe83b135985f21af99"
"2014-03-16/ZIP/2005_All_Contracts_Full_20140316.csv.zip","f9940c788f79611d73a7d51cad6ee6d5"
"2014-03-16/ZIP/2005_All_DirectPayments_Full_20140316.csv.zip","d915fc2c29c2c0f10543667bce8c7b4c"
"2014-03-16/ZIP/2005_All_Grants_Full_20140316.csv.zip","fb8258ac66931acf3578866d7ba44a2d"
"2014-03-16/ZIP/2005_All_Insurance_Full_20140316.csv.zip","801d36b3248243020ba1dbefa75626ec"
"2014-03-16/ZIP/2005_All_Loans_Full_20140316.csv.zip","b6c781c4fa1ecf4e751d6272e26ec6d0"
"2014-03-16/ZIP/2005_All_Others_Full_20140316.csv.zip","6009e9e93729061ebf4b1f71294cc946"
"2014-03-16/ZIP/2006_All_Contracts_Full_20140316.csv.zip","d4b297c4a6c4645bb4a73c1539aec54b"
"2014-03-16/ZIP/2006_All_DirectPayments_Full_20140316.csv.zip","34a3c592c7408f362089195e3c31f9ba"
"2014-03-16/ZIP/2006_All_Grants_Full_20140316.csv.zip","3ed87ffa7768fd865a80b6670026a692"
"2014-03-16/ZIP/2006_All_Insurance_Full_20140316.csv.zip","c0002ebc280cd9bb385ee783e17656b8"
"2014-03-16/ZIP/2006_All_Loans_Full_20140316.csv.zip","48799bcbba885784d94e845e1bd6e78f"
"2014-03-16/ZIP/2006_All_Others_Full_20140316.csv.zip","080a42440959c4c3936967ce3206a1d7"
"2014-03-16/ZIP/2007_All_Contracts_Full_20140316.csv.zip","33ba244b86f1c89ee2c9f56c5b712947"
"2014-03-16/ZIP/2007_All_DirectPayments_Full_20140316.csv.zip","b72eb2b690f1790b1a0ac7757c0fab64"
"2014-03-16/ZIP/2007_All_Grants_Full_20140316.csv.zip","058ffe9ecb54377d578f8a15a62c6546"
"2014-03-16/ZIP/2007_All_Insurance_Full_20140316.csv.zip","6321e7f5d495a84cb8a7bea76550238b"
